year,month,monthly_traded_sessions,monthly_volume_sum,monthly_volume_weighted_price,month_end_close,month_end_settle
2022,4,19,9191830,5108.8,4996.0,4953.0
2022,5,19,9671774,4742.4,4789.0,4769.0
2022,6,21,10333864,4536.6,4412.0,4407.0
2022,7,21,13060439,3954.2,3969.0,3988.0
2022,8,23,9075261,4003.4,3928.0,3919.0
2022,9,21,8583182,3787.7,3841.0,3863.0
2022,10,16,7400206,3680.6,3457.0,3494.0
2022,11,22,8394217,3710.9,3862.0,3862.0
2022,12,22,8071271,4021.4,4143.0,4136.0
2023,1,16,5042300,4153.3,4154.0,4198.0
2023,2,20,7449201,4177.8,4260.0,4257.0
2023,3,23,8508813,4333.0,4292.0,4297.0
2023,4,19,7333112,3950.1,3721.0,3738.0
2023,5,20,11006542,3671.0,3581.0,3557.0
2023,6,20,9601254,3786.9,3825.0,3842.0
2023,7,21,10991119,3922.7,4084.0,4090.0
2023,8,23,11478786,3776.5,3880.0,3856.0
2023,9,20,11714396,3870.0,3795.0,3798.0
2023,10,17,7428509,3758.6,3849.0,3846.0
2023,11,22,9672506,3974.9,4007.0,3984.0
2023,12,21,9458196,4079.7,4114.0,4110.0
2024,1,22,8093238,4062.9,4005.0,4025.0
2024,2,15,5626730,3933.7,3911.0,3909.0
2024,3,21,9356064,3777.5,3625.0,3653.0
2024,4,20,9275353,3771.3,3804.0,3818.0
2024,5,20,8105571,3848.2,3833.0,3840.0
2024,6,19,6910130,3779.3,3745.0,3736.0
2024,7,23,9678968,3648.3,3479.0,3478.0
2024,8,22,16143618,3322.1,3339.0,3346.0
2024,9,19,18858187,3051.9,3643.0,3563.0
2024,10,18,14377844,3575.4,3587.0,3591.0
2024,11,21,11304171,3513.4,3489.0,3492.0
2024,12,22,9154865,3476.6,3418.0,3423.0
2025,1,18,7699898,3405.2,3485.0,3473.0
2025,2,18,8715539,3418.5,3425.0,3412.0
2025,3,21,11365819,3379.0,3342.0,3351.0
2025,4,21,13737337,3236.6,3204.0,3202.0
2025,5,19,11195433,3184.4,3076.0,3084.0
2025,6,20,11239084,3094.0,3123.0,3134.0
2025,7,23,18463748,3346.5,3390.0,3421.0
2025,8,21,11169559,3412.1,3346.0,3356.0
2025,9,22,11468102,3341.3,3253.0,3274.0
2025,10,17,8535512,3263.0,3308.0,3315.0
2025,11,20,7729649,3273.3,3302.0,3293.0
2025,12,23,9806318,3275.9,3270.0,3274.0
