year,month,monthly_traded_sessions,monthly_volume_sum,monthly_volume_weighted_price,month_end_close,month_end_settle
2019,3,21,35067800,618.4,632.0,621.0
2019,4,20,38475608,640.0,639.5,634.5
2019,5,20,42621331,706.5,727.0,734.5
2019,6,19,46246954,778.1,838.5,833.5
2019,7,23,43970042,851.0,763.0,775.5
2019,8,22,54076796,634.2,607.5,594.5
2019,9,20,48572288,645.0,655.5,652.0
2019,10,18,33444184,628.9,620.5,621.5
2019,11,21,35051274,626.7,646.0,645.5
2019,12,22,34570856,545.1,648.5,646.5
2020,1,16,8380924,618.6,649.5,659.0
2020,2,20,17498659,205.2,616.5,0.0
2020,3,22,24426116,71.6,650.5,0.0
2020,4,21,19563054,0.0,610.0,0.0
2020,5,18,19730430,0.0,752.0,0.0
2020,6,20,26006004,0.0,744.5,0.0
2020,7,23,19308512,322.8,849.5,837.5
2020,8,21,14669572,846.4,844.0,844.5
2020,9,22,20140404,810.5,809.0,792.0
2020,10,16,12224063,790.0,794.5,786.0
2020,11,21,14402213,839.6,911.5,906.0
2020,12,23,14010475,984.5,996.0,986.5
2021,1,20,7206063,1038.5,990.0,985.0
2021,2,15,4897390,1058.3,1151.0,1142.0
2021,3,23,7980719,1084.9,1079.5,1091.5
2021,4,21,7034530,1053.1,1088.5,1108.5
2021,5,18,8617097,1160.6,1106.0,1090.0
2021,6,21,9077962,1174.7,1165.0,1153.5
2021,7,22,8178017,1179.2,1027.0,1063.0
2021,8,22,13614244,840.3,808.0,829.5
2021,9,20,16346798,713.8,721.5,727.0
2021,10,16,12568941,711.9,637.5,656.0
2021,11,22,17535754,569.7,609.5,614.0
2021,12,23,22178841,637.9,680.0,674.0
2022,1,19,13628557,729.7,829.0,797.5
2022,2,16,13181989,738.5,705.5,699.0
2022,3,23,14111950,812.9,897.0,895.0
2022,4,19,10609658,882.8,869.5,855.5
2022,5,19,10956070,831.6,892.5,895.5
2022,6,21,12397990,827.3,791.0,802.5
2022,7,21,14352170,716.1,782.0,780.5
2022,8,23,16979728,719.8,685.0,683.5
2022,9,21,15472524,705.1,721.5,723.5
2022,10,16,11196427,678.8,606.5,613.0
2022,11,22,19397350,702.8,769.0,767.0
2022,12,22,17893938,808.5,863.0,855.0
2023,1,16,10788745,847.2,866.0,873.0
2023,2,20,13260138,871.2,888.5,887.0
2023,3,23,13716264,898.9,907.0,909.0
2023,4,19,12611314,767.7,714.0,715.0
2023,5,20,17331170,710.9,711.0,702.5
2023,6,20,17035228,790.8,822.5,833.0
2023,7,21,11807381,832.1,841.5,830.5
2023,8,23,12994250,780.8,849.0,841.5
2023,9,20,11930205,854.2,852.0,851.5
2023,10,17,9533232,855.8,898.5,897.0
2023,11,22,9197137,949.7,969.5,956.5
2023,12,21,5192762,954.9,979.0,973.5
2024,1,22,6194950,971.8,960.5,971.5
2024,2,15,5211836,915.4,892.0,887.0
2024,3,21,8647653,829.9,740.0,748.5
2024,4,20,10050389,830.4,874.0,873.0
2024,5,20,6417408,885.1,865.0,866.5
2024,6,19,6039609,823.7,825.0,819.5
2024,7,23,6496737,813.4,768.0,765.5
2024,8,22,11006835,736.6,754.0,756.5
2024,9,19,12321572,658.8,821.5,802.5
2024,10,18,9117013,779.3,781.5,782.0
2024,11,21,6958897,774.3,797.5,796.0
2024,12,22,5837154,789.6,779.0,777.0
2025,1,18,5282913,778.6,810.5,809.0
2025,2,18,6568358,815.4,799.5,802.0
2025,3,21,7285609,776.6,773.0,777.5
2025,4,21,9058961,713.2,703.5,704.5
2025,5,19,7922932,713.6,702.0,703.5
2025,6,20,7434811,703.1,715.5,718.0
2025,7,23,9384604,773.7,779.0,784.5
2025,8,21,5043013,782.4,787.5,787.0
2025,9,22,6912302,795.2,780.5,783.0
2025,10,17,5394583,783.8,800.0,797.0
2025,11,20,5661213,780.1,794.0,792.0
2025,12,23,5743654,775.1,789.5,789.5
